time_ps,time_ns,msd_nm2,sem_nm2
4010,4.01,5.31382783,0.27935166
4020,4.02,5.32501181,0.280144547
4030,4.03,5.33658294,0.280911594
4040,4.04,5.34797112,0.281693921
4050,4.05,5.35958062,0.282530678
4060,4.06,5.37122544,0.283360429
4070,4.07,5.38272383,0.284130454
4080,4.08,5.39411797,0.284946491
4090,4.09,5.40550021,0.285753668
4100,4.1,5.41689223,0.286505871
4110,4.11,5.42837429,0.287291124
4120,4.12,5.43983229,0.288070412
4130,4.13,5.45111141,0.288849257
4140,4.14,5.46234952,0.289612828
4150,4.15,5.47341813,0.290411148
4160,4.16,5.48457559,0.291195751
4170,4.17,5.49575035,0.291961694
4180,4.18,5.50692474,0.292685161
4190,4.19,5.51807929,0.293444139
4200,4.2,5.52927095,0.294212561
4210,4.21,5.54008053,0.295005782
4220,4.22,5.55089475,0.295707537
4230,4.23,5.56199837,0.296461102
4240,4.24,5.57298703,0.297171852
4250,4.25,5.58388365,0.297904674
4260,4.26,5.5950312,0.298691618
4270,4.27,5.60613434,0.299527259
4280,4.28,5.61759553,0.300334817
4290,4.29,5.62886804,0.301099437
4300,4.3,5.64006445,0.301882161
4310,4.31,5.65151468,0.302637301
4320,4.32,5.66277929,0.3033859
4330,4.33,5.67421433,0.30409609
4340,4.34,5.68601822,0.304821144
4350,4.35,5.69791081,0.305556685
4360,4.36,5.70952241,0.306275172
4370,4.37,5.72125033,0.307033327
4380,4.38,5.73279911,0.307823043
4390,4.39,5.74418638,0.308632
4400,4.4,5.7556736,0.309373118
4410,4.41,5.76712573,0.310103431
4420,4.42,5.7784322,0.310894781
4430,4.43,5.78984423,0.311714407
4440,4.44,5.80139967,0.312521953
4450,4.45,5.8130038,0.313346958
4460,4.46,5.82458361,0.314240624
4470,4.47,5.83622873,0.315144511
4480,4.48,5.84801121,0.31612156
4490,4.49,5.85991101,0.317063164
4500,4.5,5.87163373,0.317943619
4510,4.51,5.8832721,0.318806229
4520,4.52,5.89497505,0.319665398
4530,4.53,5.90682586,0.32053993
4540,4.54,5.91848403,0.321427283
4550,4.55,5.92980928,0.322291254
4560,4.56,5.94140331,0.323186932
4570,4.57,5.95285159,0.32406469
4580,4.58,5.96401182,0.324920115
4590,4.59,5.97519134,0.325729015
4600,4.6,5.98620725,0.326608204
4610,4.61,5.99713338,0.327498102
4620,4.62,6.00811205,0.328369352
4630,4.63,6.01933884,0.329266818
4640,4.64,6.03041326,0.3301118
4650,4.65,6.0415536,0.330950595
4660,4.66,6.05282854,0.331839989
4670,4.67,6.06397393,0.332696841
4680,4.68,6.07492777,0.333574351
4690,4.69,6.08611174,0.334550584
4700,4.7,6.09738625,0.335501728
4710,4.71,6.10869398,0.336489345
4720,4.72,6.12033235,0.337465988
4730,4.73,6.13210003,0.33839903
4740,4.74,6.14380334,0.339323001
4750,4.75,6.15520267,0.340265011
4760,4.76,6.16674161,0.341179188
4770,4.77,6.17819477,0.342031454
4780,4.78,6.18950351,0.342856303
4790,4.79,6.20091263,0.343661875
4800,4.8,6.21242434,0.344466082
4810,4.81,6.22398619,0.345312309
4820,4.82,6.2354641,0.346115708
4830,4.83,6.24718294,0.346947624
4840,4.84,6.25877522,0.347792207
4850,4.85,6.27035548,0.348625802
4860,4.86,6.28187138,0.349461722
4870,4.87,6.29329879,0.350284002
4880,4.88,6.30489766,0.351063558
4890,4.89,6.31652132,0.351799084
4900,4.9,6.32804826,0.352617747
4910,4.91,6.33948389,0.353381482
4920,4.92,6.35074928,0.354214121
4930,4.93,6.36203867,0.355020333
4940,4.94,6.37335248,0.355812845
4950,4.95,6.38488158,0.356618746
4960,4.96,6.39640423,0.357379023
4970,4.97,6.40775782,0.358118249
4980,4.98,6.41934896,0.358881603
4990,4.99,6.43088987,0.359638821
5000,5,6.44247012,0.360391897
5010,5.01,6.45404296,0.361139497
5020,5.02,6.4655367,0.361884811
5030,5.03,6.47706451,0.362606062
5040,5.04,6.48850687,0.36333803
5050,5.05,6.49974142,0.364077633
5060,5.06,6.5108713,0.364779203
5070,5.07,6.5222368,0.365472671
5080,5.08,6.53351499,0.366147389
5090,5.09,6.54454655,0.366842131
5100,5.1,6.55528828,0.367509053
5110,5.11,6.56601712,0.368166273
5120,5.12,6.5767966,0.368854409
5130,5.13,6.5877289,0.369576355
5140,5.14,6.59843244,0.370238006
5150,5.15,6.60932837,0.370918088
5160,5.16,6.61994355,0.371601609
5170,5.17,6.63046599,0.372204071
5180,5.18,6.64141682,0.372808704
5190,5.19,6.65260434,0.37341887
5200,5.2,6.66348777,0.373994518
5210,5.21,6.67445515,0.374605532
5220,5.22,6.6852285,0.37517934
5230,5.23,6.69598331,0.375691644
5240,5.24,6.70676298,0.376181361
5250,5.25,6.71751922,0.376683122
5260,5.26,6.72823595,0.377137749
5270,5.27,6.73938108,0.37767117
5280,5.28,6.7505799,0.378172485
5290,5.29,6.76185745,0.378686945
5300,5.3,6.77315974,0.379186759
5310,5.31,6.78453312,0.379715992
5320,5.32,6.79575447,0.380284377
5330,5.33,6.80701811,0.380846097
5340,5.34,6.81811069,0.381421575
5350,5.35,6.82909076,0.381944903
5360,5.36,6.83990164,0.382539697
5370,5.37,6.85078347,0.383129511
5380,5.38,6.8616412,0.383730846
5390,5.39,6.87241163,0.384264827
5400,5.4,6.88336564,0.384767939
5410,5.41,6.89414295,0.385239199
5420,5.42,6.90459228,0.385751256
5430,5.43,6.91510977,0.386253963
5440,5.44,6.92566807,0.38678334
5450,5.45,6.93621054,0.38735229
5460,5.46,6.94713621,0.387891605
5470,5.47,6.95801992,0.388403266
5480,5.48,6.96894175,0.388934085
5490,5.49,6.98013426,0.389431641
5500,5.5,6.99115207,0.389908817
5510,5.51,7.00241046,0.390385717
5520,5.52,7.01388288,0.390819849
5530,5.53,7.02527789,0.391294412
5540,5.54,7.03677586,0.391790054
5550,5.55,7.04811602,0.392274618
5560,5.56,7.05975609,0.392791503
5570,5.57,7.07131869,0.393292778
5580,5.58,7.08286011,0.393763005
5590,5.59,7.09424827,0.394287563
5600,5.6,7.10561623,0.39478984
5610,5.61,7.11713395,0.395317203
5620,5.62,7.12865607,0.395791976
5630,5.63,7.14002154,0.396264003
5640,5.64,7.15151207,0.396766722
5650,5.65,7.16286402,0.397283477
5660,5.66,7.17435798,0.397735131
5670,5.67,7.18601601,0.398206831
5680,5.68,7.19744973,0.398670285
5690,5.69,7.20881302,0.399170457
5700,5.7,7.21997086,0.399608036
5710,5.71,7.23138833,0.400029336
5720,5.72,7.24260857,0.400487958
5730,5.73,7.25348704,0.400914514
5740,5.74,7.26447424,0.40135255
5750,5.75,7.27567475,0.401830259
5760,5.76,7.28668461,0.40234458
5770,5.77,7.29762509,0.4028177
5780,5.78,7.30849854,0.403239017
5790,5.79,7.31927108,0.403689378
5800,5.8,7.33002945,0.404098759
5810,5.81,7.34107509,0.404555874
5820,5.82,7.35214639,0.405043085
5830,5.83,7.36333762,0.405463484
5840,5.84,7.37452499,0.405871193
5850,5.85,7.38564719,0.406299273
5860,5.86,7.39706555,0.406659489
5870,5.87,7.40822152,0.407035047
5880,5.88,7.41917874,0.407402221
5890,5.89,7.43026455,0.407766756
5900,5.9,7.44123158,0.408155031
5910,5.91,7.45214616,0.408596532
5920,5.92,7.46308642,0.408974738
5930,5.93,7.47431118,0.409447814
5940,5.94,7.48540398,0.409866329
5950,5.95,7.49667842,0.410319724
5960,5.96,7.5076766,0.410739481
5970,5.97,7.51872469,0.411205023
5980,5.98,7.53003143,0.41163499
5990,5.99,7.54108069,0.412069708
6000,6,7.552122,0.412505091
6010,6.01,7.56333296,0.412911066
6020,6.02,7.57462548,0.413344883
6030,6.03,7.58565975,0.41379065
6040,6.04,7.59678174,0.414265854
6050,6.05,7.60770424,0.414725717
6060,6.06,7.61864454,0.415084095
6070,6.07,7.62966791,0.415468879
6080,6.08,7.6406579,0.415816687
